,files,preds
0,val/1.jpg,"Male, 228.75"
1,val/2.jpg,"Female, 231.359375"
2,val/3.jpg,"Male, 228.3125"
3,val/4.jpg,"Female, 222.6875"
4,val/5.jpg,"Male, 245.9375"
5,val/6.jpg,"Male, 212.484375"
6,val/7.jpg,"Male, 224.34375"
7,val/8.jpg,"Male, 229.890625"
8,val/9.jpg,"Male, 244.6875"
9,val/10.jpg,"Male, 208.65625"
10,val/11.jpg,"Female, 250.15625"
11,val/12.jpg,"Female, 236.390625"
12,val/13.jpg,"Female, 260.546875"
13,val/14.jpg,"Male, 218.328125"
14,val/15.jpg,"Female, 226.84375"
15,val/16.jpg,"Male, 239.09375"
16,val/17.jpg,"Male, 212.078125"
17,val/18.jpg,"Female, 225.203125"
18,val/19.jpg,"Male, 215.328125"
19,val/20.jpg,"Female, 236.359375"
20,val/21.jpg,"Male, 230.03125"
21,val/22.jpg,"Male, 215.265625"
22,val/23.jpg,"Female, 233.375"
23,val/24.jpg,"Female, 228.109375"
24,val/25.jpg,"Female, 221.953125"
25,val/26.jpg,"Female, 201.25"
26,val/27.jpg,"Female, 229.75"
27,val/28.jpg,"Female, 236.28125"
28,val/29.jpg,"Male, 232.6875"
29,val/30.jpg,"Female, 211.59375"
30,val/31.jpg,"Female, 202.78125"
31,val/32.jpg,"Female, 201.203125"
32,val/33.jpg,"Male, 238.75"
33,val/34.jpg,"Male, 216.1875"
34,val/35.jpg,"Male, 215.359375"
35,val/36.jpg,"Female, 238.671875"
36,val/37.jpg,"Male, 192.578125"
37,val/38.jpg,"Male, 208.375"
38,val/39.jpg,"Male, 233.859375"
39,val/40.jpg,"Female, 233.1875"
40,val/41.jpg,"Male, 226.921875"
41,val/42.jpg,"Female, 225.8125"
42,val/43.jpg,"Female, 239.453125"
43,val/44.jpg,"Female, 246.140625"
44,val/45.jpg,"Male, 217.484375"
45,val/46.jpg,"Male, 234.0"
46,val/47.jpg,"Male, 214.328125"
47,val/48.jpg,"Female, 220.359375"
48,val/49.jpg,"Male, 232.875"
49,val/50.jpg,"Female, 223.015625"
50,val/51.jpg,"Male, 226.265625"
51,val/52.jpg,"Female, 213.65625"
52,val/53.jpg,"Male, 233.953125"
53,val/54.jpg,"Male, 227.984375"
54,val/55.jpg,"Male, 214.53125"
55,val/56.jpg,"Male, 217.125"
56,val/57.jpg,"Female, 245.625"
57,val/58.jpg,"Male, 226.90625"
58,val/59.jpg,"Female, 219.59375"
59,val/60.jpg,"Female, 218.71875"
60,val/61.jpg,"Male, 226.5"
61,val/62.jpg,"Male, 226.015625"
62,val/63.jpg,"Female, 210.34375"
63,val/64.jpg,"Male, 210.484375"
64,val/65.jpg,"Male, 248.828125"
65,val/66.jpg,"Female, 196.734375"
66,val/67.jpg,"Male, 249.171875"
67,val/68.jpg,"Female, 216.90625"
68,val/69.jpg,"Male, 233.390625"
69,val/70.jpg,"Male, 221.828125"
